Atención;FEMENINO;MASCULINO;NO DEFINIDO;NR - NO REPORTADO;Año;Ubicación
F430 - REACCION AL ESTRÉS AGUDO;;1;;;2018;17388 - La Merced
F431 - TRASTORNO DE ESTRÉS POSTRAUMATICO;;1;;;2018;17388 - La Merced
F432 - TRASTORNOS DE ADAPTACION;;2;;;2018;17388 - La Merced
F438 - OTRAS REACCIONES AL ESTRÉS GRAVE;;;;;2018;17388 - La Merced
F445 - CONVULSIONES DISOCIATIVAS;;;;;2018;17388 - La Merced
F449 - TRASTORNO DISOCIATIVO [DE CONVERSION], NO ESPECIFICADO;1;;;;2018;17388 - La Merced
F450 - TRASTORNO DE SOMATIZACION;1;;;;2018;17388 - La Merced
F454 - TRASTORNO DE DOLOR PERSISTENTE SOMATOMORFO;;;;;2018;17388 - La Merced
F458 - OTROS TRASTORNOS SOMATOMORFOS;;;;;2018;17388 - La Merced
F509 - TRASTORNO DE LA INGESTION DE ALIMENTOS, NO ESPECIFICADO;;;;;2018;17388 - La Merced
F510 - INSOMNIO NO ORGANICO;1;2;;;2018;17388 - La Merced
F520 - FALTA O PERDIDA DEL DESEO SEXUAL;;;;;2018;17388 - La Merced
F522 - FALLA DE LA RESPUESTA GENITAL;;;;;2018;17388 - La Merced
F523 - DISFUNCION ORGASMICA;;;;;2018;17388 - La Merced
F524 - EYACULACION PRECOZ;;;;;2018;17388 - La Merced
F528 - OTRAS DISFUNCIONES SEXUALES, NO OCASIONADAS POR TRASTORNO NI POR ENFERMEDAD ORGANICOS;;;;;2018;17388 - La Merced
F529 - DISFUNCION SEXUAL, NO OCASIONADA POR TRASTORNO NI POR ENFERMEDAD ORGANICOS, NO ESPECIFICADA;;1;;;2018;17388 - La Merced
F54X - FACTORES PSICOLOGICOS Y DEL COMPORTAMIENTO ASOCIADOS CON TRASTORNOS O ENFERMEDADES CLASIFICADOS EN OTRA PARTE;;;;;2018;17388 - La Merced
F55X - ABUSO DE SUSTANCIAS QUE NO PRODUCEN DEPENDENCIA;;;;;2018;17388 - La Merced
F604 - TRASTORNO HISTRIONICO DE LA PERSONALIDAD;;;;;2018;17388 - La Merced
F638 - OTROS TRASTORNOS DE LOS HABITOS Y DE LOS IMPULSOS;;;;;2018;17388 - La Merced
F642 - TRASTORNO DE LA IDENTIDAD DE GENERO EN LA NIÑEZ;;1;;;2018;17388 - La Merced
F661 - ORIENTACION SEXUAL EGODISTONICA;;;;;2018;17388 - La Merced
F688 - OTROS TRASTORNOS ESPECIFICADOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;;;;;2018;17388 - La Merced
F700 - RETRASO MENTAL LEVE: DETERIORO DEL COMPORTAMIENTO NULO O MINIMO;;1;;;2018;17388 - La Merced
F701 - RETRASO MENTAL LEVE: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO;;;;;2018;17388 - La Merced
F708 - RETRASO MENTAL LEVE: OTROS DETERIOROS DEL COMPORTAMIENTO;1;;;;2018;17388 - La Merced
F710 - RETRASO MENTAL MODERADO: DETERIORO DEL COMPORTAMIENTO NULO O MINIMO;;;;;2018;17388 - La Merced
F711 - RETRASO MENTAL MODERADO: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO;;;;;2018;17388 - La Merced
F718 - RETRASO MENTAL MODERADO: OTROS DETERIOROS DEL COMPORTAMIENTO;1;;;;2018;17388 - La Merced
F719 - RETRASO MENTAL MODERADO: DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO;;;;;2018;17388 - La Merced
F720 - RETRASO MENTAL GRAVE: DETERIORO DEL COMPORTAMIENTO NULO O MINIMO;;;;;2018;17388 - La Merced
F721 - RETRASO MENTAL GRAVE: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO;;;;;2018;17388 - La Merced
F729 - RETRASO MENTAL GRAVE: DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO;1;;;;2018;17388 - La Merced
F790 - RETRASO MENTAL, NO ESPECIFICADO: DETERIORO DEL COMPORTAMIENTO NULO O MINIMO;;;;;2018;17388 - La Merced
F791 - RETRASO MENTAL, NO ESPECIFICADO: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO;;;;;2018;17388 - La Merced
F798 - RETRASO MENTAL, NO ESPECIFICADO: OTROS DETERIOROS DEL COMPORTAMIENTO;;;;;2018;17388 - La Merced
F799 - RETRASO MENTAL, NO ESPECIFICADO: DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO;;;;;2018;17388 - La Merced
F800 - TRASTORNO ESPECIFICO DE LA PRONUNCIACION;;;;;2018;17388 - La Merced
F801 - TRASTORNO DEL LENGUAJE EXPRESIVO;;1;;;2018;17388 - La Merced
F808 - OTROS TRASTORNOS DEL DESARROLLO DEL HABLA Y DEL LENGUAJE;;;;;2018;17388 - La Merced
F809 - TRASTORNO DEL DESARROLLO DEL HABLA Y DEL LENGUAJE NO ESPECIFICADO;2;;;;2018;17388 - La Merced
F813 - TRASTORNO MIXTO DE LAS HABILIDADES ESCOLARES;;1;;;2018;17388 - La Merced
F818 - OTROS TRASTORNOS DEL DESARROLLO DE LAS HABILIDADES ESCOLARES;;1;;;2018;17388 - La Merced
F819 - TRASTORNO DEL DESARROLLO DE LAS HABILIDADES ESCOLARES, NO ESPECIFICADO;;2;;;2018;17388 - La Merced
F82X - TRASTORNO ESPECIFICO DEL DESARROLLO DE LA FUNCION MOTRIZ;;1;;;2018;17388 - La Merced
F900 - PERTURBACION DE LA ACTIVIDAD Y DE LA ATENCION;2;3;;;2018;17388 - La Merced
F901 - TRASTORNO HIPERCINETICO DE LA CONDUCTA;;1;;;2018;17388 - La Merced
F908 - OTROS TRASTORNOS HIPERCINETICOS;;3;;;2018;17388 - La Merced
F910 - TRASTORNO DE LA CONDUCTA LIMITADO AL CONTEXTO FAMILIAR;;1;;;2018;17388 - La Merced
F912 - TRASTORNO DE LA CONDUCTA SOCIABLE;;;;;2018;17388 - La Merced
F913 - TRASTORNO OPOSITOR DESAFIANTE;;1;;;2018;17388 - La Merced
F918 - OTROS TRASTORNOS DE LA CONDUCTA;;2;;;2018;17388 - La Merced
F919 - TRASTORNO DE LA CONDUCTA, NO ESPECIFICADO;1;3;;;2018;17388 - La Merced
F920 - TRASTORNO DEPRESIVO DE LA CONDUCTA;;;;;2018;17388 - La Merced
F928 - OTROS TRASTORNOS MIXTOS DE LA CONDUCTA Y DE LAS EMOCIONES;;;;;2018;17388 - La Merced
F929 - TRASTORNO MIXTO DE LA CONDUCTA Y DE LAS EMOCIONES, NO ESPECIFICADO;;;;;2018;17388 - La Merced
F931 - TRASTORNO DE ANSIEDAD FOBICA EN LA NIÑEZ;1;;;;2018;17388 - La Merced
F939 - TRASTORNO EMOCIONAL EN LA NIÑEZ, NO ESPECIFICADO;;;;;2018;17388 - La Merced
F941 - TRASTORNO DE VINCULACION REACTIVA EN LA NIÑEZ;;;;;2018;17388 - La Merced
F948 - OTROS TRASTORNOS DEL COMPORTAMIENTO SOCIAL EN LA NIÑEZ;;3;;;2018;17388 - La Merced
F949 - TRASTORNO DEL COMPORTAMIENTO SOCIAL EN LA NIÑEZ, NO ESPECIFICADO;1;;;;2018;17388 - La Merced
F980 - ENURESIS NO ORGANICA;1;;;;2018;17388 - La Merced
F985 - TARTAMUDEZ [ESPASMOFEMIA];;;;;2018;17388 - La Merced
F988 - OTROS TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NIÑEZ Y EN LA ADOLESCENCIA;;;;;2018;17388 - La Merced
F989 - TRASTORNOS NO ESPECIFICADOS, EMOCIONALES Y DEL COMPORTAMIENTO, QUE APARECEN HABITUALMENTE EN LA NIÑEZ Y EN LA ADOLESCENCIA;1;;;;2018;17388 - La Merced
F000 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TEMPRANO (G30.0†);;;;;2018;17433 - Manzanares
F001 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TARDIO (G30.1†);;;;;2018;17433 - Manzanares
F002 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, ATIPICA O DE TIPO MIXTO (G30.8†);1;;;;2018;17433 - Manzanares
F009 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, NO ESPECIFICADA (G30.9†);7;3;;;2018;17433 - Manzanares
F013 - DEMENCIA VASCULAR MIXTA, CORTICAL Y SUBCORTICAL;2;1;;;2018;17433 - Manzanares
F018 - OTRAS DEMENCIAS VASCULARES;;;;;2018;17433 - Manzanares
F019 - DEMENCIA VASCULAR, NO ESPECIFICADA;1;;;;2018;17433 - Manzanares
F023 - DEMENCIA EN LA ENFERMEDAD DE PARKINSON (G20†);;;;;2018;17433 - Manzanares
F028 - DEMENCIA EN OTRAS ENFERMEDADES ESPECIFICADAS CLASIFICADAS EN OTRA PARTE;;1;;;2018;17433 - Manzanares
F03X - DEMENCIA , NO ESPECIFICADA;12;3;;;2018;17433 - Manzanares
F051 - DELIRIO SUPERPUESTO A UN CUADRO DE DEMENCIA;;1;;;2018;17433 - Manzanares
F058 - OTROS DELIRIOS;;1;;;2018;17433 - Manzanares
F059 - DELIRIO, NO ESPECIFICADO;1;1;;;2018;17433 - Manzanares
F061 - TRASTORNO CATATONICO, ORGANICO;;;;;2018;17433 - Manzanares
F062 - TRASTORNO DELIRANTE [ESQUIZOFRENIFORME], ORGANICO;;;;;2018;17433 - Manzanares
F063 - TRASTORNOS DEL HUMOR [AFECTIVOS], ORGANICOS;;;;;2018;17433 - Manzanares
F064 - TRASTORNO DE ANSIEDAD, ORGANICO;2;;;;2018;17433 - Manzanares
F066 - TRASTORNO DE LABILIDAD EMOCIONAL [ASTENICO], ORGANICO;2;;;;2018;17433 - Manzanares
F067 - TRASTORNO COGNOSCITIVO LEVE;7;1;;;2018;17433 - Manzanares
F068 - OTROS TRASTORNOS MENTALES ESPECIFICADOS DEBIDOS A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA;;;;;2018;17433 - Manzanares
F069 - TRASTORNO MENTAL NO ESPECIFICADO DEBIDO A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA;2;2;;;2018;17433 - Manzanares
F071 - SINDROME POSTENCEFALITICO;;;;;2018;17433 - Manzanares
F072 - SINDROME POSTCONCUSIONAL;2;;;;2018;17433 - Manzanares
F078 - OTROS TRASTORNOS ORGANICOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO DEBIDOS A ENFERMEDAD, LESION Y DISFUNCION CEREBRALES;;;;;2018;17433 - Manzanares
F079 - TRASTORNO ORGANICO DE LA PERSONALIDAD Y DEL COMPORTAMIENTO, NO ESPECIFICADO, DEBIDO A ENFERMEDAD, LESION Y DISFUNCION CEREBRAL;;;;;2018;17433 - Manzanares
F09X - TRASTORNO MENTAL ORGANICO O SINTOMATICO, NO ESPECIFICADO;1;;;;2018;17433 - Manzanares
F100 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: INTOXICACION AGUDA;;1;;;2018;17433 - Manzanares
F101 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: USO NOCIVO;;;;;2018;17433 - Manzanares
F102 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: SINDROME DE DEPENDENCIA;;1;;;2018;17433 - Manzanares
F103 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: ESTADO DE ABSTINENCIA;;;;;2018;17433 - Manzanares
F105 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: TRASTORNO PSICOTICO;;;;;2018;17433 - Manzanares
F108 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;1;;;2018;17433 - Manzanares
F109 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;;;;2018;17433 - Manzanares
F110 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: INTOXICACION AGUDA;;;;;2018;17433 - Manzanares
F112 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: SINDROME DE DEPENDENCIA;;;;;2018;17433 - Manzanares
F119 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;;;;2018;17433 - Manzanares
F120 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: INTOXICACION AGUDA;;;;;2018;17433 - Manzanares
F121 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: USO NOCIVO;1;;;;2018;17433 - Manzanares
F122 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: SINDROME DE DEPENDENCIA;;1;;;2018;17433 - Manzanares
F123 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: ESTADO DE ABSTINENCIA;;2;;;2018;17433 - Manzanares
F124 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2018;17433 - Manzanares
F125 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: TRASTORNO PSICOTICO;;1;;;2018;17433 - Manzanares
F128 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;1;;;2018;17433 - Manzanares
F129 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;1;;;2018;17433 - Manzanares
F130 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: INTOXICACION AGUDA;;;;;2018;17433 - Manzanares
F137 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: TRASTORNO PSICOTICO RESIDUAL Y DE COMIENZO TARDIO;;;;;2018;17433 - Manzanares
F140 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: INTOXICACION AGUDA;;;;;2018;17433 - Manzanares
F142 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: SINDROME DE DEPENDENCIA;;;;;2018;17433 - Manzanares
F143 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: ESTADO DE ABSTINENCIA;;;;;2018;17433 - Manzanares
F139 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;;;;2018;17433 - Manzanares
F148 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;;;;2018;17433 - Manzanares
F149 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;;;;2018;17433 - Manzanares
F150 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES, INCLUIDA LA CAFEINA: INTOXICACION AGUDA;;;;;2018;17433 - Manzanares
F160 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: INTOXICACION AGUDA;;;;;2018;17433 - Manzanares
F161 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: USO NOCIVO;;;;;2018;17433 - Manzanares
F162 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: SINDROME DE DEPENDENCIA;;;;;2018;17433 - Manzanares
F163 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: ESTADO DE ABSTINENCIA;;2;;;2018;17433 - Manzanares
F164 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: ESTADO DE ABSTINENCIA CON DELIRIO;1;;;;2018;17433 - Manzanares
F168 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;;;;2018;17433 - Manzanares
F170 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: INTOXICACION AGUDA;;;;;2018;17433 - Manzanares
F180 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES: INTOXICACION AGUDA;;;;;2018;17433 - Manzanares
F190 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: INTOXICACION AGUDA;3;;;;2018;17433 - Manzanares
F191 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: USO NOCIVO;;3;;;2018;17433 - Manzanares
F192 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: SINDROME DE DEPENDENCIA;;6;;;2018;17433 - Manzanares
F193 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: ESTADO DE ABSTINENCIA;1;;;;2018;17433 - Manzanares
F195 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: TRASTORNO PSICOTICO;;;;;2018;17433 - Manzanares
F196 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: SINDROME AMNESICO;;;;;2018;17433 - Manzanares
F198 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;3;;;2018;17433 - Manzanares
F199 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;2;3;;;2018;17433 - Manzanares
F200 - ESQUIZOFRENIA PARANOIDE;7;5;;;2018;17433 - Manzanares
F201 - ESQUIZOFRENIA HEBEFRENICA;;;;;2018;17433 - Manzanares
F202 - ESQUIZOFRENIA CATATONICA;;;;;2018;17433 - Manzanares
F203 - ESQUIZOFRENIA INDIFERENCIADA;;1;;;2018;17433 - Manzanares
F204 - DEPRESION POSTESQUIZOFRENICA;2;;;;2018;17433 - Manzanares
F205 - ESQUIZOFRENIA RESIDUAL;;2;;;2018;17433 - Manzanares
F206 - ESQUIZOFRENIA SIMPLE;1;1;;;2018;17433 - Manzanares
F208 - OTRAS ESQUIZOFRENIAS;2;3;;;2018;17433 - Manzanares
F209 - ESQUIZOFRENIA, NO ESPECIFICADA;14;13;;;2018;17433 - Manzanares
F220 - TRASTORNO DELIRANTE;;;;;2018;17433 - Manzanares
F228 - OTROS TRASTORNOS DELIRANTES PERSISTENTES;;;;;2018;17433 - Manzanares
F229 - TRASTORNO DELIRANTE PERSISTENTE, NO ESPECIFICADO;;;;;2018;17433 - Manzanares
F230 - TRASTORNO PSICOTICO AGUDO POLIMORFO, SIN SINTOMAS DE ESQUIZOFRENIA;;;;;2018;17433 - Manzanares
F231 - TRASTORNO PSICOTICO AGUDO POLIMORFO, CON SINTOMAS DE ESQUIZOFRENIA;;1;;;2018;17433 - Manzanares
F232 - TRASTORNO PSICOTICO AGUDO DE TIPO ESQUIZOFRENICO;;;;;2018;17433 - Manzanares
F233 - OTRO TRASTORNO PSICOTICO AGUDO, CON PREDOMINIO DE IDEAS DELIRANTES;;;;;2018;17433 - Manzanares
F238 - OTROS TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS;1;;;;2018;17433 - Manzanares
F239 - TRASTORNO PSICOTICO AGUDO Y TRANSITORIO, NO ESPECIFICADO DE TIPO ESQUIZOFRENICO;;1;;;2018;17433 - Manzanares
F251 - TRASTORNO ESQUIZOAFECTIVO DE TIPO DEPRESIVO;;;;;2018;17433 - Manzanares
F252 - TRASTORNO ESQUIZOAFECTIVO DE TIPO MIXTO;;1;;;2018;17433 - Manzanares
F259 - TRASTORNO ESQUIZOAFECTIVO, NO ESPECIFICADO;1;1;;;2018;17433 - Manzanares
F29X - PSICOSIS DE ORIGEN NO ORGANICO, NO ESPECIFICADA;1;;;;2018;17433 - Manzanares
F301 - MANIA SIN SINTOMAS PSICOTICOS;;;;;2018;17433 - Manzanares
F302 - MANIA CON SINTOMAS PSICOTICOS;;;;;2018;17433 - Manzanares
F308 - OTROS EPISODIOS MANIACOS;;1;;;2018;17433 - Manzanares
F309 - EPISODIO MANIACO, NO ESPECIFICADO;2;;;;2018;17433 - Manzanares
F310 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO HIPOMANIACO PRESENTE;3;1;;;2018;17433 - Manzanares
F311 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE SIN SINTOMAS PSICOTICOS;1;2;;;2018;17433 - Manzanares
F312 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE CON SINTOMAS PSICOTICOS;4;4;;;2018;17433 - Manzanares
F313 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO PRESENTE LEVE O MODERADO;10;2;;;2018;17433 - Manzanares
F314 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SINTOMAS PSICOTICOS;5;;;;2018;17433 - Manzanares
F315 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE CON SINTOMAS PSICOTICOS;5;2;;;2018;17433 - Manzanares
F316 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MIXTO PRESENTE;5;1;;;2018;17433 - Manzanares
F317 - TRASTORNO AFECTIVO BIPOLAR, ACTUALMENTE EN REMISION;13;7;;;2018;17433 - Manzanares
F318 - OTROS TRASTORNOS AFECTIVOS BIPOLARES;40;32;;;2018;17433 - Manzanares
F319 - TRASTORNO AFECTIVO BIPOLAR, NO ESPECIFICADO;45;22;;;2018;17433 - Manzanares
F320 - EPISODIO DEPRESIVO LEVE;15;3;;;2018;17433 - Manzanares
F321 - EPISODIO DEPRESIVO MODERADO;27;11;;;2018;17433 - Manzanares
F322 - EPISODIO DEPRESIVO GRAVE SIN SINTOMAS PSICOTICOS;6;9;;;2018;17433 - Manzanares
F323 - EPISODIO DEPRESIVO GRAVE CON SINTOMAS PSICOTICOS;1;1;;;2018;17433 - Manzanares
F328 - OTROS EPISODIOS DEPRESIVOS;9;3;;;2018;17433 - Manzanares
F329 - EPISODIO DEPRESIVO, NO ESPECIFICADO;19;7;;;2018;17433 - Manzanares
F330 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO LEVE PRESENTE;1;1;;;2018;17433 - Manzanares
F331 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO MODERADO PRESENTE;12;6;;;2018;17433 - Manzanares
F332 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SINTOMAS PSICOTICOS;2;;;;2018;17433 - Manzanares
F333 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO DEPRESIVO GRAVE PRESENTE, CON SINTOMAS PSICOTICOS;1;;;;2018;17433 - Manzanares
F334 - TRASTORNO DEPRESIVO RECURRENTE ACTUALMENTE EN REMISION;3;2;;;2018;17433 - Manzanares
F338 - OTROS TRASTORNOS DEPRESIVOS RECURRENTES;2;3;;;2018;17433 - Manzanares
F339 - TRASTORNO DEPRESIVO RECURRENTE, NO ESPECIFICADO;36;13;;;2018;17433 - Manzanares
F340 - CICLOTIMIA;;;;;2018;17433 - Manzanares
F341 - DISTIMIA;;1;;;2018;17433 - Manzanares
F349 - TRASTORNO PERSISTENTE DEL HUMOR [AFECTIVO], NO ESPECIFICADO;;;;;2018;17433 - Manzanares
F380 - OTROS TRASTORNOS DEL HUMOR [AFECTIVOS], AISLADOS;;;;;2018;17433 - Manzanares
F381 - OTROS TRASTORNOS DEL HUMOR [AFECTIVOS], RECURRENTES;;;;;2018;17433 - Manzanares
F39X - TRASTORNO DEL HUMOR [AFECTIVO], NO ESPECIFICADO;3;3;;;2018;17433 - Manzanares
F401 - FOBIAS SOCIALES;;1;;;2018;17433 - Manzanares
F402 - FOBIAS ESPECIFICADAS [AISLADAS];;;;;2018;17433 - Manzanares
F408 - OTROS TRASTORNOS FOBICOS DE ANSIEDAD;1;;;;2018;17433 - Manzanares
F409 - TRASTORNO FOBICO DE ANSIEDAD, NO ESPECIFICADO;1;;;;2018;17433 - Manzanares
F410 - TRASTORNO DE PANICO [ANSIEDAD PAROXISTICA EPISODICA];2;;;;2018;17433 - Manzanares
F411 - TRASTORNO DE ANSIEDAD GENERALIZADA;10;3;;;2018;17433 - Manzanares
F412 - TRASTORNO MIXTO DE ANSIEDAD Y DEPRESION;68;15;;;2018;17433 - Manzanares
F413 - OTROS TRASTORNOS DE ANSIEDAD MIXTOS;1;2;;;2018;17433 - Manzanares
F418 - OTROS TRASTORNOS DE ANSIEDAD ESPECIFICADOS;5;3;;;2018;17433 - Manzanares
F419 - TRASTORNO DE ANSIEDAD , NO ESPECIFICADO;42;8;;;2018;17433 - Manzanares
F420 - PREDOMINIO DE PENSAMIENTOS O RUMIACIONES OBSESIVAS;2;;;;2018;17433 - Manzanares
F421 - PREDOMINIO DE ACTOS COMPULSIVOS [RITUALES OBSESIVOS];1;;;;2018;17433 - Manzanares
F422 - ACTOS E IDEAS OBSESIVAS MIXTOS;;;;;2018;17433 - Manzanares
F428 - OTROS TRASTORNOS OBSESIVO-COMPULSIVOS;1;;;;2018;17433 - Manzanares
F429 - TRASTORNO OBSESIVO-COMPULSIVO, NO ESPECIFICADO;4;1;;;2018;17433 - Manzanares
F430 - REACCION AL ESTRÉS AGUDO;;;;;2018;17433 - Manzanares
