Atención;FEMENINO;MASCULINO;NO DEFINIDO;NR - NO REPORTADO;Año
F798 - RETRASO MENTAL, NO ESPECIFICADO: OTROS DETERIOROS DEL COMPORTAMIENTO;5;10;;;2018
F799 - RETRASO MENTAL, NO ESPECIFICADO: DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO;5;4;;;2018
F800 - TRASTORNO ESPECIFICO DE LA PRONUNCIACION;1;1;;;2018
F801 - TRASTORNO DEL LENGUAJE EXPRESIVO;22;53;;;2018
F802 - TRASTORNO DE LA RECEPCION DEL LENGUAJE;;1;;;2018
F803 - AFASIA ADQUIRIDA CON EPILEPSIA [LANDAU-KLEFFNER];1;;;;2018
F808 - OTROS TRASTORNOS DEL DESARROLLO DEL HABLA Y DEL LENGUAJE;22;31;;;2018
F809 - TRASTORNO DEL DESARROLLO DEL HABLA Y DEL LENGUAJE NO ESPECIFICADO;20;35;;1;2018
F810 - TRASTORNO ESPECIFICO DE LA LECTURA;2;2;;;2018
F811 - TRASTORNO ESPECIFICO DEL DELETREO (ORTOGRAFIA);;;;;2018
F812 - TRASTORNO ESPECIFICO DE LAS HABILIDADES ARITMETICAS;2;2;;;2018
F813 - TRASTORNO MIXTO DE LAS HABILIDADES ESCOLARES;5;9;;;2018
F818 - OTROS TRASTORNOS DEL DESARROLLO DE LAS HABILIDADES ESCOLARES;24;41;;;2018
F819 - TRASTORNO DEL DESARROLLO DE LAS HABILIDADES ESCOLARES, NO ESPECIFICADO;19;38;;;2018
F82X - TRASTORNO ESPECIFICO DEL DESARROLLO DE LA FUNCION MOTRIZ;;1;;;2018
F83X - TRASTORNOS ESPECIFICOS MIXTOS DEL DESARROLLO;4;8;;;2018
F840 - AUTISMO EN LA NIÑEZ;3;10;;;2018
F841 - AUTISMO ATIPICO;;5;;;2018
F843 - OTRO TRASTORNO DESINTEGRATIVO DE LA NIÑEZ;;1;;;2018
F844 - TRASTORNO HIPERACTIVO ASOCIADO CON RETRASO MENTAL Y MOVIMIENTOS ESTEREOTIPADOS;;2;;;2018
F845 - SINDROME DE ASPERGER;;3;;;2018
F848 - OTROS TRASTORNOS GENERALIZADOS DEL DESARROLLO;6;14;;;2018
F849 - TRASTORNO GENERALIZADO DEL DESARROLLO NO ESPECIFICADO;2;5;;;2018
F88X - OTROS TRASTORNOS DEL DESARROLLO PSICOLOGICO;;3;;;2018
F89X - TRASTORNO DEL DESARROLLO PSICOLOGICO, NO ESPECIFICADO;2;4;;;2018
F900 - PERTURBACION DE LA ACTIVIDAD Y DE LA ATENCION;15;37;;;2018
F901 - TRASTORNO HIPERCINETICO DE LA CONDUCTA;1;17;;;2018
F908 - OTROS TRASTORNOS HIPERCINETICOS;1;2;;;2018
F909 - TRASTORNO HIPERCINETICO, NO ESPECIFICADO;1;;;;2018
F910 - TRASTORNO DE LA CONDUCTA LIMITADO AL CONTEXTO FAMILIAR;9;7;;;2018
F911 - TRASTORNO DE LA CONDUCTA INSOCIABLE;1;3;;;2018
F912 - TRASTORNO DE LA CONDUCTA SOCIABLE;1;1;;;2018
F913 - TRASTORNO OPOSITOR DESAFIANTE;2;4;;;2018
F918 - OTROS TRASTORNOS DE LA CONDUCTA;9;29;;;2018
F919 - TRASTORNO DE LA CONDUCTA, NO ESPECIFICADO;23;51;;;2018
F920 - TRASTORNO DEPRESIVO DE LA CONDUCTA;1;2;;;2018
F928 - OTROS TRASTORNOS MIXTOS DE LA CONDUCTA Y DE LAS EMOCIONES;6;3;;;2018
F929 - TRASTORNO MIXTO DE LA CONDUCTA Y DE LAS EMOCIONES, NO ESPECIFICADO;6;2;;;2018
F930 - TRASTORNO DE ANSIEDAD DE SEPARACION EN LA NIÑEZ;1;1;;;2018
F931 - TRASTORNO DE ANSIEDAD FOBICA EN LA NIÑEZ;1;;;;2018
F932 - TRASTORNO DE ANSIEDAD SOCIAL EN LA NIÑEZ;;;;;2018
F933 - TRASTORNO DE RIVALIDAD ENTRE HERMANOS;1;;;;2018
F938 - OTROS TRASTORNOS EMOCIONALES EN LA NIÑEZ;1;2;;;2018
F939 - TRASTORNO EMOCIONAL EN LA NIÑEZ, NO ESPECIFICADO;;1;;;2018
F940 - MUTISMO ELECTIVO;;1;;;2018
F948 - OTROS TRASTORNOS DEL COMPORTAMIENTO SOCIAL EN LA NIÑEZ;14;23;;;2018
F949 - TRASTORNO DEL COMPORTAMIENTO SOCIAL EN LA NIÑEZ, NO ESPECIFICADO;6;17;;;2018
F950 - TRASTORNO POR TIC TRANSITORIO;1;1;;;2018
F951 - TRASTORNO POR TIC MOTOR O VOCAL CRONICO;1;;;;2018
F952 - TRASTORNOS POR TICS MOTORES Y VOCALES MULTIPLES COMBINADOS [DE LA TOURETTE];1;;;;2018
F958 - OTROS TRASTORNOS POR TIC;;;;;2018
F959 - TRASTORNO POR TIC, NO ESPECIFICADO;;;;;2018
F980 - ENURESIS NO ORGANICA;3;10;;;2018
F981 - ECOPRESIS NO ORGANICA;;;;;2018
F982 - TRASTORNO DE LA INGESTION ALIMENTARIA EN LA INFANCIA Y EN LA NIÑEZ;;;;;2018
F983 - PICA EN LA INFANCIA Y LA NIÑEZ;;;;;2018
F984 - TRASTORNOS DE LOS MOVIMIENTOS ESTEREOTIPADOS;;;;;2018
F985 - TARTAMUDEZ [ESPASMOFEMIA];;4;;;2018
F988 - OTROS TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NIÑEZ Y EN LA ADOLESCENCIA;25;47;;;2018
F989 - TRASTORNOS NO ESPECIFICADOS, EMOCIONALES Y DEL COMPORTAMIENTO, QUE APARECEN HABITUALMENTE EN LA NIÑEZ Y EN LA ADOLESCENCIA;9;9;;;2018
F99X - TRASTORNO MENTAL, NO ESPECIFICADO;3;2;;;2018
17388 - La Merced;91;70;;;2018
F001 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TARDIO (G30.1†);1;;;;2018
F009 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, NO ESPECIFICADA (G30.9†);1;1;;;2018
F013 - DEMENCIA VASCULAR MIXTA, CORTICAL Y SUBCORTICAL;;1;;;2018
F019 - DEMENCIA VASCULAR, NO ESPECIFICADA;;;;;2018
F020 - DEMENCIA EN LA ENFERMEDAD DE PICK (G31.0†);;;;;2018
F023 - DEMENCIA EN LA ENFERMEDAD DE PARKINSON (G20†);;1;;;2018
F028 - DEMENCIA EN OTRAS ENFERMEDADES ESPECIFICADAS CLASIFICADAS EN OTRA PARTE;;;;;2018
F03X - DEMENCIA , NO ESPECIFICADA;3;;;;2018
F059 - DELIRIO, NO ESPECIFICADO;2;;;;2018
F062 - TRASTORNO DELIRANTE [ESQUIZOFRENIFORME], ORGANICO;;;;;2018
F063 - TRASTORNOS DEL HUMOR [AFECTIVOS], ORGANICOS;;1;;;2018
F064 - TRASTORNO DE ANSIEDAD, ORGANICO;1;;;;2018
F066 - TRASTORNO DE LABILIDAD EMOCIONAL [ASTENICO], ORGANICO;;;;;2018
F067 - TRASTORNO COGNOSCITIVO LEVE;;2;;;2018
F068 - OTROS TRASTORNOS MENTALES ESPECIFICADOS DEBIDOS A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA;;;;;2018
F069 - TRASTORNO MENTAL NO ESPECIFICADO DEBIDO A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA;;3;;;2018
F072 - SINDROME POSTCONCUSIONAL;;;;;2018
F079 - TRASTORNO ORGANICO DE LA PERSONALIDAD Y DEL COMPORTAMIENTO, NO ESPECIFICADO, DEBIDO A ENFERMEDAD, LESION Y DISFUNCION CEREBRAL;;;;;2018
F09X - TRASTORNO MENTAL ORGANICO O SINTOMATICO, NO ESPECIFICADO;;;;;2018
F100 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: INTOXICACION AGUDA;;1;;;2018
F101 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: USO NOCIVO;;1;;;2018
F108 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;1;;;2018
F121 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: USO NOCIVO;1;;;;2018
F122 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: SINDROME DE DEPENDENCIA;;;;;2018
F123 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: ESTADO DE ABSTINENCIA;;1;;;2018
F128 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;;;;2018
F129 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;1;;;2018
F130 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: INTOXICACION AGUDA;;;;;2018
F133 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: ESTADO DE ABSTINENCIA;;;;;2018
F138 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;;;;2018
F172 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: SINDROME DE DEPENDENCIA;;;;;2018
F173 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE TABACO: ESTADO DE ABSTINENCIA;;;;;2018
F190 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: INTOXICACION AGUDA;1;;;;2018
F192 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: SINDROME DE DEPENDENCIA;;1;;;2018
F193 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: ESTADO DE ABSTINENCIA;;1;;;2018
F198 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;;;;2018
F200 - ESQUIZOFRENIA PARANOIDE;;3;;;2018
F201 - ESQUIZOFRENIA HEBEFRENICA;;;;;2018
F203 - ESQUIZOFRENIA INDIFERENCIADA;;2;;;2018
F208 - OTRAS ESQUIZOFRENIAS;1;1;;;2018
F209 - ESQUIZOFRENIA, NO ESPECIFICADA;3;5;;;2018
F230 - TRASTORNO PSICOTICO AGUDO POLIMORFO, SIN SINTOMAS DE ESQUIZOFRENIA;;;;;2018
F233 - OTRO TRASTORNO PSICOTICO AGUDO, CON PREDOMINIO DE IDEAS DELIRANTES;1;;;;2018
F252 - TRASTORNO ESQUIZOAFECTIVO DE TIPO MIXTO;;;;;2018
F28X - OTROS TRASTORNOS PSICOTICOS DE ORIGEN NO ORGANICO;;;;;2018
F29X - PSICOSIS DE ORIGEN NO ORGANICO, NO ESPECIFICADA;;1;;;2018
F309 - EPISODIO MANIACO, NO ESPECIFICADO;;;;;2018
F310 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO HIPOMANIACO PRESENTE;2;;;;2018
F311 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE SIN SINTOMAS PSICOTICOS;1;;;;2018
F312 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MANIACO PRESENTE CON SINTOMAS PSICOTICOS;1;1;;;2018
F313 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO PRESENTE LEVE O MODERADO;1;1;;;2018
F314 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SINTOMAS PSICOTICOS;;;;;2018
F315 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO DEPRESIVO GRAVE PRESENTE CON SINTOMAS PSICOTICOS;1;;;;2018
F316 - TRASTORNO AFECTIVO BIPOLAR, EPISODIO MIXTO PRESENTE;2;;;;2018
F317 - TRASTORNO AFECTIVO BIPOLAR, ACTUALMENTE EN REMISION;8;1;;;2018
F318 - OTROS TRASTORNOS AFECTIVOS BIPOLARES;7;7;;;2018
F319 - TRASTORNO AFECTIVO BIPOLAR, NO ESPECIFICADO;10;4;;;2018
F320 - EPISODIO DEPRESIVO LEVE;2;;;;2018
F321 - EPISODIO DEPRESIVO MODERADO;7;;;;2018
F322 - EPISODIO DEPRESIVO GRAVE SIN SINTOMAS PSICOTICOS;1;1;;;2018
F323 - EPISODIO DEPRESIVO GRAVE CON SINTOMAS PSICOTICOS;;;;;2018
F328 - OTROS EPISODIOS DEPRESIVOS;2;;;;2018
F329 - EPISODIO DEPRESIVO, NO ESPECIFICADO;4;1;;;2018
F330 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO LEVE PRESENTE;;1;;;2018
F331 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO MODERADO PRESENTE;2;2;;;2018
F332 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO DEPRESIVO GRAVE PRESENTE SIN SINTOMAS PSICOTICOS;;1;;;2018
F333 - TRASTORNO DEPRESIVO RECURRENTE, EPISODIO DEPRESIVO GRAVE PRESENTE, CON SINTOMAS PSICOTICOS;;;;;2018
F334 - TRASTORNO DEPRESIVO RECURRENTE ACTUALMENTE EN REMISION;1;;;;2018
F338 - OTROS TRASTORNOS DEPRESIVOS RECURRENTES;3;1;;;2018
F339 - TRASTORNO DEPRESIVO RECURRENTE, NO ESPECIFICADO;9;3;;;2018
F340 - CICLOTIMIA;;;;;2018
F341 - DISTIMIA;;;;;2018
F380 - OTROS TRASTORNOS DEL HUMOR [AFECTIVOS], AISLADOS;;;;;2018
F39X - TRASTORNO DEL HUMOR [AFECTIVO], NO ESPECIFICADO;;;;;2018
F400 - AGORAFOBIA;;1;;;2018
F402 - FOBIAS ESPECIFICADAS [AISLADAS];;;;;2018
F410 - TRASTORNO DE PANICO [ANSIEDAD PAROXISTICA EPISODICA];;1;;;2018
F411 - TRASTORNO DE ANSIEDAD GENERALIZADA;;1;;;2018
F412 - TRASTORNO MIXTO DE ANSIEDAD Y DEPRESION;15;6;;;2018
F413 - OTROS TRASTORNOS DE ANSIEDAD MIXTOS;;;;;2018
F418 - OTROS TRASTORNOS DE ANSIEDAD ESPECIFICADOS;1;2;;;2018
F419 - TRASTORNO DE ANSIEDAD , NO ESPECIFICADO;11;3;;;2018
F428 - OTROS TRASTORNOS OBSESIVO-COMPULSIVOS;;;;;2018
F429 - TRASTORNO OBSESIVO-COMPULSIVO, NO ESPECIFICADO;;;;;2018
F430 - REACCION AL ESTRÉS AGUDO;;1;;;2018
F431 - TRASTORNO DE ESTRÉS POSTRAUMATICO;;1;;;2018
F432 - TRASTORNOS DE ADAPTACION;;2;;;2018
F438 - OTRAS REACCIONES AL ESTRÉS GRAVE;;;;;2018
F445 - CONVULSIONES DISOCIATIVAS;;;;;2018
F449 - TRASTORNO DISOCIATIVO [DE CONVERSION], NO ESPECIFICADO;1;;;;2018
F450 - TRASTORNO DE SOMATIZACION;1;;;;2018
F454 - TRASTORNO DE DOLOR PERSISTENTE SOMATOMORFO;;;;;2018
F458 - OTROS TRASTORNOS SOMATOMORFOS;;;;;2018
F509 - TRASTORNO DE LA INGESTION DE ALIMENTOS, NO ESPECIFICADO;;;;;2018
F510 - INSOMNIO NO ORGANICO;1;2;;;2018
F520 - FALTA O PERDIDA DEL DESEO SEXUAL;;;;;2018
F522 - FALLA DE LA RESPUESTA GENITAL;;;;;2018
F523 - DISFUNCION ORGASMICA;;;;;2018
F524 - EYACULACION PRECOZ;;;;;2018
F528 - OTRAS DISFUNCIONES SEXUALES, NO OCASIONADAS POR TRASTORNO NI POR ENFERMEDAD ORGANICOS;;;;;2018
F529 - DISFUNCION SEXUAL, NO OCASIONADA POR TRASTORNO NI POR ENFERMEDAD ORGANICOS, NO ESPECIFICADA;;1;;;2018
F54X - FACTORES PSICOLOGICOS Y DEL COMPORTAMIENTO ASOCIADOS CON TRASTORNOS O ENFERMEDADES CLASIFICADOS EN OTRA PARTE;;;;;2018
F55X - ABUSO DE SUSTANCIAS QUE NO PRODUCEN DEPENDENCIA;;;;;2018
F604 - TRASTORNO HISTRIONICO DE LA PERSONALIDAD;;;;;2018
F638 - OTROS TRASTORNOS DE LOS HABITOS Y DE LOS IMPULSOS;;;;;2018
F642 - TRASTORNO DE LA IDENTIDAD DE GENERO EN LA NIÑEZ;;1;;;2018
F661 - ORIENTACION SEXUAL EGODISTONICA;;;;;2018
F688 - OTROS TRASTORNOS ESPECIFICADOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO EN ADULTOS;;;;;2018
F700 - RETRASO MENTAL LEVE: DETERIORO DEL COMPORTAMIENTO NULO O MINIMO;;1;;;2018
F701 - RETRASO MENTAL LEVE: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO;;;;;2018
F708 - RETRASO MENTAL LEVE: OTROS DETERIOROS DEL COMPORTAMIENTO;1;;;;2018
F710 - RETRASO MENTAL MODERADO: DETERIORO DEL COMPORTAMIENTO NULO O MINIMO;;;;;2018
F711 - RETRASO MENTAL MODERADO: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO;;;;;2018
F718 - RETRASO MENTAL MODERADO: OTROS DETERIOROS DEL COMPORTAMIENTO;1;;;;2018
F719 - RETRASO MENTAL MODERADO: DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO;;;;;2018
F720 - RETRASO MENTAL GRAVE: DETERIORO DEL COMPORTAMIENTO NULO O MINIMO;;;;;2018
F721 - RETRASO MENTAL GRAVE: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO;;;;;2018
F729 - RETRASO MENTAL GRAVE: DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO;1;;;;2018
F790 - RETRASO MENTAL, NO ESPECIFICADO: DETERIORO DEL COMPORTAMIENTO NULO O MINIMO;;;;;2018
F791 - RETRASO MENTAL, NO ESPECIFICADO: DETERIORO DEL COMPORTAMIENTO SIGNIFICATIVO, QUE REQUIERE ATENCION O TRATAMIENTO;;;;;2018
F798 - RETRASO MENTAL, NO ESPECIFICADO: OTROS DETERIOROS DEL COMPORTAMIENTO;;;;;2018
F799 - RETRASO MENTAL, NO ESPECIFICADO: DETERIORO DEL COMPORTAMIENTO DE GRADO NO ESPECIFICADO;;;;;2018
F800 - TRASTORNO ESPECIFICO DE LA PRONUNCIACION;;;;;2018
F801 - TRASTORNO DEL LENGUAJE EXPRESIVO;;1;;;2018
F808 - OTROS TRASTORNOS DEL DESARROLLO DEL HABLA Y DEL LENGUAJE;;;;;2018
F809 - TRASTORNO DEL DESARROLLO DEL HABLA Y DEL LENGUAJE NO ESPECIFICADO;2;;;;2018
F813 - TRASTORNO MIXTO DE LAS HABILIDADES ESCOLARES;;1;;;2018
F818 - OTROS TRASTORNOS DEL DESARROLLO DE LAS HABILIDADES ESCOLARES;;1;;;2018
F819 - TRASTORNO DEL DESARROLLO DE LAS HABILIDADES ESCOLARES, NO ESPECIFICADO;;2;;;2018
F82X - TRASTORNO ESPECIFICO DEL DESARROLLO DE LA FUNCION MOTRIZ;;1;;;2018
F900 - PERTURBACION DE LA ACTIVIDAD Y DE LA ATENCION;2;3;;;2018
F901 - TRASTORNO HIPERCINETICO DE LA CONDUCTA;;1;;;2018
F908 - OTROS TRASTORNOS HIPERCINETICOS;;3;;;2018
F910 - TRASTORNO DE LA CONDUCTA LIMITADO AL CONTEXTO FAMILIAR;;1;;;2018
F912 - TRASTORNO DE LA CONDUCTA SOCIABLE;;;;;2018
F913 - TRASTORNO OPOSITOR DESAFIANTE;;1;;;2018
F918 - OTROS TRASTORNOS DE LA CONDUCTA;;2;;;2018
F919 - TRASTORNO DE LA CONDUCTA, NO ESPECIFICADO;1;3;;;2018
F920 - TRASTORNO DEPRESIVO DE LA CONDUCTA;;;;;2018
F928 - OTROS TRASTORNOS MIXTOS DE LA CONDUCTA Y DE LAS EMOCIONES;;;;;2018
F929 - TRASTORNO MIXTO DE LA CONDUCTA Y DE LAS EMOCIONES, NO ESPECIFICADO;;;;;2018
F931 - TRASTORNO DE ANSIEDAD FOBICA EN LA NIÑEZ;1;;;;2018
F939 - TRASTORNO EMOCIONAL EN LA NIÑEZ, NO ESPECIFICADO;;;;;2018
F941 - TRASTORNO DE VINCULACION REACTIVA EN LA NIÑEZ;;;;;2018
F948 - OTROS TRASTORNOS DEL COMPORTAMIENTO SOCIAL EN LA NIÑEZ;;3;;;2018
F949 - TRASTORNO DEL COMPORTAMIENTO SOCIAL EN LA NIÑEZ, NO ESPECIFICADO;1;;;;2018
F980 - ENURESIS NO ORGANICA;1;;;;2018
F985 - TARTAMUDEZ [ESPASMOFEMIA];;;;;2018
F988 - OTROS TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NIÑEZ Y EN LA ADOLESCENCIA;;;;;2018
F989 - TRASTORNOS NO ESPECIFICADOS, EMOCIONALES Y DEL COMPORTAMIENTO, QUE APARECEN HABITUALMENTE EN LA NIÑEZ Y EN LA ADOLESCENCIA;1;;;;2018
17433 - Manzanares;441;274;;;2018
F000 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TEMPRANO (G30.0†);;;;;2018
F001 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, DE COMIENZO TARDIO (G30.1†);;;;;2018
F002 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, ATIPICA O DE TIPO MIXTO (G30.8†);1;;;;2018
F009 - DEMENCIA EN LA ENFERMEDAD DE ALZHEIMER, NO ESPECIFICADA (G30.9†);7;3;;;2018
F013 - DEMENCIA VASCULAR MIXTA, CORTICAL Y SUBCORTICAL;2;1;;;2018
F018 - OTRAS DEMENCIAS VASCULARES;;;;;2018
F019 - DEMENCIA VASCULAR, NO ESPECIFICADA;1;;;;2018
F023 - DEMENCIA EN LA ENFERMEDAD DE PARKINSON (G20†);;;;;2018
F028 - DEMENCIA EN OTRAS ENFERMEDADES ESPECIFICADAS CLASIFICADAS EN OTRA PARTE;;1;;;2018
F03X - DEMENCIA , NO ESPECIFICADA;12;3;;;2018
F051 - DELIRIO SUPERPUESTO A UN CUADRO DE DEMENCIA;;1;;;2018
F058 - OTROS DELIRIOS;;1;;;2018
F059 - DELIRIO, NO ESPECIFICADO;1;1;;;2018
F061 - TRASTORNO CATATONICO, ORGANICO;;;;;2018
F062 - TRASTORNO DELIRANTE [ESQUIZOFRENIFORME], ORGANICO;;;;;2018
F063 - TRASTORNOS DEL HUMOR [AFECTIVOS], ORGANICOS;;;;;2018
F064 - TRASTORNO DE ANSIEDAD, ORGANICO;2;;;;2018
F066 - TRASTORNO DE LABILIDAD EMOCIONAL [ASTENICO], ORGANICO;2;;;;2018
F067 - TRASTORNO COGNOSCITIVO LEVE;7;1;;;2018
F068 - OTROS TRASTORNOS MENTALES ESPECIFICADOS DEBIDOS A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA;;;;;2018
F069 - TRASTORNO MENTAL NO ESPECIFICADO DEBIDO A LESION Y DISFUNCION CEREBRAL Y A ENFERMEDAD FISICA;2;2;;;2018
F071 - SINDROME POSTENCEFALITICO;;;;;2018
F072 - SINDROME POSTCONCUSIONAL;2;;;;2018
F078 - OTROS TRASTORNOS ORGANICOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO DEBIDOS A ENFERMEDAD, LESION Y DISFUNCION CEREBRALES;;;;;2018
F079 - TRASTORNO ORGANICO DE LA PERSONALIDAD Y DEL COMPORTAMIENTO, NO ESPECIFICADO, DEBIDO A ENFERMEDAD, LESION Y DISFUNCION CEREBRAL;;;;;2018
F09X - TRASTORNO MENTAL ORGANICO O SINTOMATICO, NO ESPECIFICADO;1;;;;2018
F100 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: INTOXICACION AGUDA;;1;;;2018
F101 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: USO NOCIVO;;;;;2018
F102 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: SINDROME DE DEPENDENCIA;;1;;;2018
F103 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: ESTADO DE ABSTINENCIA;;;;;2018
F105 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: TRASTORNO PSICOTICO;;;;;2018
F108 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;1;;;2018
F109 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;;;;2018
F110 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: INTOXICACION AGUDA;;;;;2018
F112 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: SINDROME DE DEPENDENCIA;;;;;2018
F119 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS: TRASTORNO MENTAL Y DEL COMPORTAMIENTO, NO ESPECIFICADO;;;;;2018
F120 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: INTOXICACION AGUDA;;;;;2018
F121 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: USO NOCIVO;1;;;;2018
F122 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: SINDROME DE DEPENDENCIA;;1;;;2018
F123 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: ESTADO DE ABSTINENCIA;;2;;;2018
F124 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: ESTADO DE ABSTINENCIA CON DELIRIO;;;;;2018
F125 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: TRASTORNO PSICOTICO;;1;;;2018
F128 - TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES: OTROS TRASTORNOS MENTALES Y DEL COMPORTAMIENTO;;1;;;2018
