;AÑOS;;;;;;
C621 - TUMOR MALIGNO DEL TESTICULO DESCENDIDO;;;;;;;
C629 - TUMOR MALIGNO DEL TESTICULO, NO ESPECIFICADO;;;;;;;
C632 - TUMOR MALIGNO DEL ESCROTO;;;;1;;;1
C638 - LESION DE SITIOS CONTIGUOS DE LOS ORGANOS GENITALES MASCULINOS;;2;;;;1;3
C64X - TUMOR MALIGNO DEL RIÑON, EXCEPTO DE LA PELVIS RENAL;1;;;;4;;5
C672 - TUMOR MALIGNO DE LA PARED LATERAL DE LA VEJIGA;;;;;;;
C676 - TUMOR MALIGNO DEL ORIFICIO URETERAL;;;;;;;
C679 - TUMOR MALIGNO DE LA VEJIGA URINARIA, PARTE NO ESPECIFICADA;;;;;;;
C690 - TUMOR MALIGNO DE LA CONJUNTIVA;;1;;;;;1
C698 - LESION DE SITIOS CONTIGUOS DEL OJO Y SUS ANEXOS;3;3;;4;;1;11
C710 - TUMOR MALIGNO DEL CEREBRO, EXCEPTO LOBULOS Y VENTRICULOS;;;;;;1;1
C719 - TUMOR MALIGNO DEL ENCEFALO, PARTE NO ESPECIFICADA;1;;1;;;;2
C729 - TUMOR MALIGNO DEL SISTEMA NERVIOSO CENTRAL, SIN OTRA ESPECIFICACION;;;;;;1;1
C73X - TUMOR MALIGNO DE LA GLANDULA TIROIDES;2;;3;1;2;;8
C760 - TUMOR MALIGNO DE LA CABEZA, CARA Y CUELLO;1;;;;;;1
C761 - TUMOR MALIGNO DEL TORAX;;;;;1;;1
C774 - TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA REGION INGUINAL Y DEL MIEMBRO INFERIOR;;;;;;1;1
C780 - TUMOR MALIGNO SECUNDARIO DEL PULMON;;;;;;;
C786 - TUMOR MALIGNO SECUNDARIO DEL PERITONEO Y DEL RETROPERITONEO;;;;;;;
C787 - TUMOR MALIGNO SECUNDARIO DEL HIGADO;;;;;;;
C793 - TUMOR MALIGNO SECUNDARIO DEL ENCEFALO Y DE LAS MENINGES CEREBRALES;;1;;;;;1
C80X - TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS;;;1;;;;1
17174 - Chinchiná;328;244;404;270;362;231;1.839
C000 - TUMOR MALIGNO DEL LABIO SUPERIOR, CARA EXTERNA;;1;;;;;1
C008 - LESION DE SITIOS CONTIGUOS DEL LABIO;1;3;1;;;2;7
C009 - TUMOR MALIGNO DEL LABIO, PARTE NO ESPECIFICADA;;1;;;;;1
C01X - TUMOR MALIGNO DE LA BASE DE LA LENGUA;;;;;;;
C028 - LESION DE SITIOS CONTIGUOS DE LA LENGUA;6;6;1;;;1;14
C048 - LESION DE SITIOS CONTIGUOS DEL PISO DE LA BOCA;1;;1;1;1;;4
C049 - TUMOR MALIGNO DEL PISO DE LA BOCA, PARTE NO ESPECIFICADA;;;;;;;
C058 - LESION DE SITIOS CONTIGUOS DEL PALADAR;;1;1;2;1;1;6
C062 - TUMOR MALIGNO DEL AREA RETROMOLAR;;;;;;;
C068 - LESION DE SITIOS CONTIGUOS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA;2;3;3;3;1;;12
C069 - TUMOR MALIGNO DE LA BOCA, PARTE NO ESPECIFICADA;;;;1;;;1
C07X - TUMOR MALIGNO DE LA GLANDULA PAROTIDA;1;;;1;;1;3
C080 - TUMOR MALIGNO DE LA GLANDULA SUBMAXILAR;;;;;;1;1
C088 - LESION DE SITIOS CONTIGUOS DE LAS GLANDULAS SALIVALES MAYORES;1;;;;;;1
C089 - TUMOR MALIGNO DE GLANDULA SALIVAL MAYOR, NO ESPECIFICADA;;1;;1;;;2
C090 - TUMOR MALIGNO DE LA FOSA AMIGDALINA;;;;1;;;1
C098 - LESION DE SITIOS CONTIGUOS DE LA AMIGDALA;;3;;2;;1;6
C099 - TUMOR MALIGNO DE LA AMIGDALA, PARTE NO ESPECIFICADA;1;3;1;2;;3;10
C102 - TUMOR MALIGNO DE LA PARED LATERAL DE LA OROFARINGE;;;;;;;
C108 - LESION DE SITIOS CONTIGUOS DE LA OROFARINGE;2;;4;;3;;9
C109 - TUMOR MALIGNO DE LA OROFARINGE, PARTE NO ESPECIFICADA;;;;;;1;1
C118 - LESION DE SITIOS CONTIGUOS DE LA NASOFARINGE;;;;;;;
C119 - TUMOR MALIGNO DE LA NASOFARINGE, PARTE NO ESPECIFICADA;;1;;1;;1;3
C132 - TUMOR MALIGNO DE LA PARED POSTERIOR DE LA HIPOFARINGE;;;;;;;
C139 - TUMOR MALIGNO DE LA HIPOFARINGE, PARTE NO ESPECIFICADA;;;;;;1;1
C140 - TUMOR MALIGNO DE LA FARINGE, PARTE NO ESPECIFICADA;;1;;;;;1
C148 - LESION DE SITIOS CONTIGUOS DEL LABIO, DE LA CAVIDAD BUCAL Y DE LA LARINGE;1;3;2;2;1;2;11
C150 - TUMOR MALIGNO DEL ESOFAGO, PORCION CERVICAL;;;;;;;
C151 - TUMOR MALIGNO DEL ESOFAGO, PORCION TORACICA;;;;1;;;1
C152 - TUMOR MALIGNO DEL ESOFAGO, PORCION ABDOMINAL;;2;;1;;;3
C153 - TUMOR MALIGNO DEL TERCIO SUPERIOR DEL ESOFAGO;1;;;;1;;2
C154 - TUMOR MALIGNO DEL TERCIO MEDIO DEL ESOFAGO;;1;;;;;1
C155 - TUMOR MALIGNO DEL TERCIO INFERIOR DEL ESOFAGO;;3;;3;;;6
C158 - LESION DE SITIOS CONTIGUOS DEL ESOFAGO;4;3;;;;2;9
C159 - TUMOR MALIGNO DEL ESOFAGO, PARTE NO ESPECIFICADA;;2;;;;;2
C160 - TUMOR MALIGNO DEL CARDIAS;;;;;;;
C161 - TUMOR MALIGNO DEL FUNDUS GASTRICO;1;9;3;11;1;3;28
C162 - TUMOR MALIGNO DEL CUERPO DEL ESTOMAGO;1;9;;6;1;9;26
C163 - TUMOR MALIGNO DEL ANTRO PILORICO;1;3;4;3;2;2;15
C164 - TUMOR MALIGNO DEL PILORO;1;1;1;1;;;4
C165 - TUMOR MALIGNO DE LA CURVATURA MENOR DEL ESTOMAGO, SIN OTRA ESPECIFICACION;;5;;5;1;3;14
C166 - TUMOR MALIGNO DE LA CURVATURA MAYOR DEL ESTOMAGO, SIN OTRA ESPECIFICACION;;1;;;1;;2
C168 - LESION DE SITIOS CONTIGUOS DEL ESTOMAGO;2;2;1;1;2;1;9
C169 - TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;2;11;3;9;2;6;33
C170 - TUMOR MALIGNO DEL DUODENO;;;;1;;1;2
C171 - TUMOR MALIGNO DEL YEYUNO;;;;;1;;1
C172 - TUMOR MALIGNO DEL ILEON;;;2;;;;2
C179 - TUMOR MALIGNO DEL INTESTINO DELGADO, PARTE NO ESPECIFICADA;;1;;;;;1
C180 - TUMOR MALIGNO DEL CIEGO;1;;1;;1;;3
C181 - TUMOR MALIGNO DEL APENDICE;;;;;1;;1
C182 - TUMOR MALIGNO DEL COLON ASCENDENTE;10;1;4;;6;;21
C183 - TUMOR MALIGNO DEL ANGULO HEPATICO;;;;;;1;1
C184 - TUMOR MALIGNO DEL COLON TRANSVERSO;1;1;2;1;2;;7
C186 - TUMOR MALIGNO DEL COLON DESCENDENTE;2;2;2;2;;1;9
C187 - TUMOR MALIGNO DEL COLON SIGMOIDE;5;6;3;8;4;8;34
C188 - LESION DE SITIOS CONTIGUOS DEL COLON;2;1;3;;1;4;11
C189 - TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;7;3;3;6;2;4;25
C19X - TUMOR MALIGNO DE LA UNION RECTOSIGMOIDEA;;3;;;1;2;6
C20X - TUMOR MALIGNO DEL RECTO;2;1;4;1;9;3;20
C210 - TUMOR MALIGNO DEL ANO, PARTE NO ESPECIFICADA;;1;3;1;;2;7
C211 - TUMOR MALIGNO DEL CONDUCTO ANAL;;1;2;1;2;;6
C229 - TUMOR MALIGNO DEL HIGADO, NO ESPECIFICADO;;1;3;1;2;3;10
C23X - TUMOR MALIGNO DE LA VESICULA BILIAR;2;;;1;1;1;5
C240 - TUMOR MALIGNO D E LAS VIAS BILIARES EXTRAHEPATICAS;;;1;;;3;4
C241 - TUMOR MALIGNO DE LA AMPOLLA DE VATER;;;1;1;;;2
C248 - LESION DE SITIOS CONTIGUOS DE LAS VIAS BILIARES;3;1;2;1;;1;8
C249 - TUMOR MALIGNO DE LAS VIAS BILIARES, PARTE NO ESPECIFICADA;;;1;;;1;2
C250 - TUMOR MALIGNO DE LA CABEZA DEL PANCREAS;2;2;2;3;;2;11
C251 - TUMOR MALIGNO DEL CUERPO DEL PANCREAS;;;;;;;
C252 - TUMOR MALIGNO DE LA COLA DEL PANCREAS;;;;;1;;1
C254 - TUMOR MALIGNO DEL PANCREAS ENDOCRINO;1;;;;;;1
C257 - TUMOR MALIGNO DE OTRAS PARTES ESPECIFICADAS DEL PANCREAS;;1;;1;;;2
C258 - LESION DE SITIOS CONTIGUOS DEL PANCREAS;3;;1;1;;;5
C259 - TUMOR MALIGNO DEL PANCREAS, PARTE NO ESPECIFICADA;3;1;1;;;1;6
C260 - TUMOR MALIGNO DEL INTESTINO, PARTE NO ESPECIFICADA;;;;;2;;2
C300 - TUMOR MALIGNO DE LA FOSA NASAL;;;;;;;
C313 - TUMOR MALIGNO DEL SENO ESFENOIDAL;;;;;;;
C318 - LESION DE SITIOS CONTIGUOS DE LOS SENOS PARANASALES;1;;1;1;1;1;5
C319 - TUMOR MALIGNO DEL SENO PARANASAL NO ESPECIFICADO;;;;;;;
C320 - TUMOR MALIGNO DE LA GLOTIS;;;;3;;;3
C321 - TUMOR MALIGNO DE LA REGION SUPRAGLOTICA;;;;;;1;1
C328 - LESION DE SITIOS CONTIGUOS DE LA LARINGE;;;;1;1;;2
C329 - TUMOR MALIGNO DE LA LARINGE, PARTE NO ESPECIFICADA;;1;1;;;1;3
C33X - TUMOR MALIGNO DE LA TRAQUEA;;;;;;;
C340 - TUMOR MALIGNO DEL BRONQUIO PRINCIPAL;1;;;1;;1;3
C341 - TUMOR MALIGNO DEL LOBULO SUPERIOR, BRONQUIO O PULMON;2;3;2;2;3;5;17
C342 - TUMOR MALIGNO DEL LOBULO MEDIO, BRONQUIO O PULMON;;;1;;1;1;3
C343 - TUMOR MALIGNO DEL LOBULO INFERIOR, BRONQUIO O PULMON;;2;1;4;2;3;12
C348 - LESION DE SITIOS CONTIGUOS DE LOS BRONQUIOS Y DEL PULMON;1;;3;2;3;1;10
C349 - TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA;1;4;2;7;6;11;31
C37X - TUMOR MALIGNO DEL TIMO;;;;;1;;1
C381 - TUMOR MALIGNO DEL MEDIASTINO ANTERIOR;;1;;;;;1
C383 - TUMOR MALIGNO DEL MEDIASTINO, PARTE NO ESPECIFICADA;1;;;;;;1
C384 - TUMOR MALIGNO DE LA PLEURA;1;;;;;;1
C388 - LESION DE SITIOS CONTIGUOS DEL CORAZON, DEL MEDIASTINO Y DE LA PLEURA;;2;;;;;2
C401 - TUMOR MALIGNO DE LOS HUESOS CORTOS DEL MIEMBRO SUPERIOR;;;;;1;;1
C402 - TUMOR MALIGNO DE LOS HUESOS LARGOS DEL MIEMBRO INFERIOR;;2;;;1;;3
C408 - LESION DE SITIOS CONTIGUOS DE LOS HUESOS Y DE LOS CARTILAGOS ARTICULARES DE LOS MIEMBROS;;2;;1;;1;4
C409 - TUMOR MALIGNO DE LOS HUESOS Y DE LOS CARTILAGOS ARTICULARES DE LOS MIEMBROS, SIN OTRA ESPECIFICACION;1;;;;;;1
C410 - TUMOR MALIGNO DE LOS HUESOS DEL CRANEO Y DE LA CARA;;1;;;;;1
C412 - TUMOR MALIGNO DE LA COLUMNA VERTEBRAL;;3;2;;1;3;9
C413 - TUMOR MALIGNO DE LA COSTILLA, ESTERNON Y CLAVICULA;;;;;;1;1
C414 - TUMOR MALIGNO DE LOS HUESOS DE LA PELVIS, SACRO Y COCCIX;;;1;;;;1
C418 - LESION DE SITIOS CONTIGUOS DEL HUESO Y DEL CARTILAGO ARTICULAR;;;;;1;1;2
C419 - TUMOR MALIGNO DE HUESO Y DEL CARTILAGO ARTICULAR, NO ESPECIFICADO;;;1;1;;1;3
C431 - MELANOMA MALIGNO DEL PARPADO, INCLUIDA LA COMISURA PALPEBRAL;;;;;;;
C433 - MELANOMA MALIGNO DE LAS OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA CARA;1;;1;3;2;1;8
C435 - MELANOMA MALIGNO DEL TRONCO;1;3;1;1;;2;8
C436 - MELANOMA MALIGNO DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO;1;3;1;3;1;1;10
C437 - MELANOMA MALIGNO DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA;2;1;2;2;2;3;12
C438 - MELANOMA MALIGNO DE SITIOS CONTIGUOS DE LA PIEL;;1;;1;2;1;5
C439 - MELANOMA MALIGNO DE PIEL, SITIO NO ESPECIFICADO;4;;2;2;2;4;14
C440 - TUMOR MALIGNO DE LA PIEL DEL LABIO;;;;;1;;1
C441 - TUMOR MALIGNO DE LA PIEL DEL PARPADO, INCLUIDA LA COMISURA PALPEBRAL;2;2;3;;4;;11
C442 - TUMOR MALIGNO DE LA PIEL DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO;;;;;;;
C443 - TUMOR MALIGNO DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA;44;44;75;67;50;39;319
C444 - TUMOR MALIGNO DE LA PIEL DEL CUERO CABELLUDO Y DEL CUELLO;1;4;1;2;;3;11
C445 - TUMOR MALIGNO DE LA PIEL DEL TRONCO;2;1;2;2;4;2;13
C446 - TUMOR MALIGNO DE LA PIEL DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO;1;;2;;2;1;6
C447 - TUMOR MALIGNO DE LA PIEL DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA;1;;2;;;;3
C449 - TUMOR MALIGNO DE LA PIEL, SITIO NO ESPECIFICADO;8;10;5;7;4;1;35
C470 - TUMOR MALIGNO DE LOS NERVIOS PERIFERICOS DE LA CABEZA, CARA Y CUELLO;;1;;;;;1
C478 - LESION DE SITIOS CONTIGUOS DE LOS NERVIOS PERIFERICOS Y DEL SISTEMA NERVIOSO AUTONOMO;;;;;1;;1
C480 - TUMOR MALIGNO DEL RETROPERITONEO;1;;1;;;;2
C481 - TUMOR MALIGNO DE PARTE ESPECIFICADA DEL PERITONEO;1;;1;;;;2
C490 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DE LA CABEZA, CARA Y CUELLO;;;;1;;1;2
C491 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO;;;1;;1;;2
C492 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA;;;1;;1;;2
C493 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL TORAX;;;2;;;1;3
C494 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL ABDOMEN;;;;;1;;1
C496 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL TRONCO, SIN OTRA ESPECIFICACION;;;1;;;;1
C499 - TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO, DE SITIO NO ESPECIFICADO;;;;;;;
C500 - TUMOR MALIGNO DEL PEZON Y AREOLA MAMARIA;;;;;1;;1
C501 - TUMOR MALIGNO DE LA PORCION CENTRAL DE LA MAMA;5;;10;;10;1;26
C502 - TUMOR MALIGNO DEL CUADRANTE SUPERIOR INTERNO DE LA MAMA;7;1;7;;15;;30
C503 - TUMOR MALIGNO DEL CUADRANTE INFERIOR INTERNO DE LA MAMA;5;;7;;6;;18
C504 - TUMOR MALIGNO DEL CUADRANTE SUPERIOR EXTERNO DE LA MAMA;34;;42;;39;;115
C505 - TUMOR MALIGNO DEL CUADRANTE INFERIOR EXTERNO DE LA MAMA;3;;9;;9;;21
C506 - TUMOR MALIGNO DE LA PROLONGACION AXILAR DE LA MAMA;1;;1;;1;;3
C509 - TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA;61;1;70;1;72;;205
C510 - TUMOR MALIGNO DEL LABIO MAYOR;;;;;;;
C511 - TUMOR MALIGNO DEL LABIO MENOR;1;;;;;;1
C512 - TUMOR MALIGNO DEL CLITORIS;;;;;;;
C519 - TUMOR MALIGNO DE LA VULVA, PARTE NO ESPECIFICADA;1;;1;;3;;5
C52X - TUMOR MALIGNO DE LA VAGINA;1;;;;;;1
C530 - TUMOR MALIGNO DEL ENDOCERVIX;4;;3;;5;;12
C531 - TUMOR MALIGNO DE EXOCERVIX;14;;16;;13;;43
C539 - TUMOR MALIGNO DEL CUELLO DEL UTERO, SIN OTRA ESPECIFICACION;4;;7;;4;;15
C541 - TUMOR MALIGNO DEL ENDOMETRIO;6;;8;;5;;19
C542 - TUMOR MALIGNO DEL MIOMETRIO;;;;;;;
C549 - TUMOR MALIGNO DEL CUERPO DEL UTERO, PARTE NO ESPECIFICADA;;;;;;;
C55X - TUMOR MALIGNO DEL UTERO, PARTE NO ESPECIFICADA;2;;1;;3;;6
C56X - TUMOR MALIGNO DEL OVARIO;17;;17;;22;;56
C574 - TUMOR MALIGNO DE LOS ANEXOS UTERINOS, SIN OTRA ESPECIFICACIÓN;;;;;;;
C579 - TUMOR MALIGNO DE ORGANO GENITAL FEMENINO, PARTE NO ESPECIFICADA;;;;;1;;1
C58X - TUMOR MALIGNO DE LA PLACENTA;1;;1;;1;;3
C601 - TUMOR MALIGNO DEL GLANDE;;;;;;;
C602 - TUMOR MALIGNO DEL CUERPO DEL PENE;;1;;;;;1
C608 - LESION DE SITIOS CONTIGUOS DEL PENE;;9;;10;;7;26
C609 - TUMOR MALIGNO DEL PENE, PARTE NO ESPECIFICADA;;1;;1;;2;4
C61X - TUMOR MALIGNO DE LA PROSTATA;;46;1;63;;51;161
C620 - TUMOR MALIGNO DEL TESTICULO NO DESCENDIDO;;;;;;1;1
C621 - TUMOR MALIGNO DEL TESTICULO DESCENDIDO;;6;;5;;6;17
C629 - TUMOR MALIGNO DEL TESTICULO, NO ESPECIFICADO;;4;;5;;2;11
C631 - TUMOR MALIGNO DEL CORDON ESPERMATICO;;;;;;;
C638 - LESION DE SITIOS CONTIGUOS DE LOS ORGANOS GENITALES MASCULINOS;;3;;1;;;4
C64X - TUMOR MALIGNO DEL RIÑON, EXCEPTO DE LA PELVIS RENAL;4;3;8;3;5;5;28
C65X - TUMOR MALIGNO DE LA PELVIS RENAL;;;1;1;1;;3
C672 - TUMOR MALIGNO DE LA PARED LATERAL DE LA VEJIGA;;;;3;;2;5
C674 - TUMOR MALIGNO DE LA PARED POSTERIOR DE LA VEJIGA;;1;;2;;;3
C675 - TUMOR MALIGNO DEL CUELLO DE LA VEJIGA;;;;1;1;;2
C678 - LESION DE SITIOS CONTIGUOS DE LA VEJIGA;;;;;;2;2
C679 - TUMOR MALIGNO DE LA VEJIGA URINARIA, PARTE NO ESPECIFICADA;2;7;2;9;2;7;29
C688 - LESION DE SITIOS CONTIGUOS DE LOS ORGANOS URINARIOS;;;;;;1;1
C690 - TUMOR MALIGNO DE LA CONJUNTIVA;1;3;1;2;5;1;13
C691 - TUMOR MALIGNO DE LA CORNEA;;1;;;;;1
C692 - TUMOR MALIGNO DE LA RETINA;;;;;1;;1
C693 - TUMOR MALIGNO DE LA COROIDES;;;;;;;
C695 - TUMOR MALIGNO DE LA GLANDULA Y CONDUCTO LAGRIMALES;1;;;;;;1
C696 - TUMOR MALIGNO DE LA ORBITA;1;1;;;1;;3
C698 - LESION DE SITIOS CONTIGUOS DEL OJO Y SUS ANEXOS;4;3;6;3;4;4;24
C699 - TUMOR MALIGNO DEL OJO, PARTE NO ESPECIFICADA;;;;;;;
C700 - TUMOR MALIGNO DE LAS MENINGES CEREBRALES;2;;1;;1;;4
C709 - TUMOR MALIGNO DE LAS MENINGES, PARTE NO ESPECIFICADA;1;;1;;;;2
C710 - TUMOR MALIGNO DEL CEREBRO, EXCEPTO LOBULOS Y VENTRICULOS;3;1;4;;2;1;11
C711 - TUMOR MALIGNO DEL LOBULO FRONTAL;1;1;;1;1;1;5
C712 - TUMOR MALIGNO DEL LOBULO TEMPORAL;3;;4;1;3;1;12
C713 - TUMOR MALIGNO DEL LOBULO PARIETAL;;;;2;;;2
C714 - TUMOR MALIGNO DEL LOBULO OCCIPITAL;;;2;;1;;3
C715 - TUMOR MALIGNO DEL VENTRICULO CEREBRAL;1;;;1;;1;3
C716 - TUMOR MALIGNO DEL CEREBELO;1;;1;1;;1;4
C718 - LESION DE SITIOS CONTIGUOS DEL ENCEFALO;;;;;;1;1
C719 - TUMOR MALIGNO DEL ENCEFALO, PARTE NO ESPECIFICADA;1;;;1;;;2
C720 - TUMOR MALIGNO DE LA MEDULA ESPINAL;;;;1;;;1
C729 - TUMOR MALIGNO DEL SISTEMA NERVIOSO CENTRAL, SIN OTRA ESPECIFICACION;;;;1;1;;2
C73X - TUMOR MALIGNO DE LA GLANDULA TIROIDES;47;5;54;4;47;5;162
C740 - TUMOR MALIGNO DE LA CORTEZA DE LA GLANDULA SUPRARRENAL;;;;;1;;1
C749 - TUMOR MALIGNO DE LA GLANDULA SUPRARRENAL, PARTE NO ESPECIFICADA;1;;1;;;;2
C750 - TUMOR MALIGNO DE LA GLANDULA PARATIROIDES;;;;;;;
C751 - TUMOR MALIGNO DE LA HIPOFISIS;;;;;;;
C752 - TUMOR MALIGNO DEL CONDUCTO CRANEOFARINGEO;;;;;;;
C759 - TUMOR MALIGNO DE GLANDULA ENDOCRINA NO ESPECIFICADA;;;;;;;
C760 - TUMOR MALIGNO DE LA CABEZA, CARA Y CUELLO;;1;;;3;;4
C761 - TUMOR MALIGNO DEL TORAX;;;;1;;1;2
C762 - TUMOR MALIGNO DEL ABDOMEN;;;2;;1;;3
C763 - TUMOR MALIGNO DE LA PELVIS;;;;;;;
C765 - TUMOR MALIGNO DEL MIEMBRO INFERIOR;;1;;;1;;2
C767 - TUMOR MALIGNO DE OTROS SITIOS MAL DEFINIDOS;;1;;;;;1
C768 - LESION DE SITIOS CONTIGUOS MAL DEFINIDOS;;;;;;;
C770 - TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA CABEZA, CARA Y CUELLO;2;2;3;4;1;1;13
C774 - TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA REGION INGUINAL Y DEL MIEMBRO INFERIOR;;1;1;;;;2
C779 - TUMOR MALIGNO DEL GANGLIO LINFATICO, SITIO NO ESPECIFICADO;;;;;1;;1
C780 - TUMOR MALIGNO SECUNDARIO DEL PULMON;1;1;;3;1;;6
C781 - TUMOR MALIGNO SECUNDARIO DEL MEDIASTINO;;;;;;;
C782 - TUMOR MALIGNO SECUNDARIO DE LA PLEURA;;1;;;1;;2
C786 - TUMOR MALIGNO SECUNDARIO DEL PERITONEO Y DEL RETROPERITONEO;;1;;1;;;2
C787 - TUMOR MALIGNO SECUNDARIO DEL HIGADO;;;;;;;
C790 - TUMOR MALIGNO SECUNDARIO DEL RIÑON Y DE LA PELVIS RENAL;;;;;;;
C792 - TUMOR MALIGNO SECUNDARIO DE LA PIEL;;;;;1;;1
C793 - TUMOR MALIGNO SECUNDARIO DEL ENCEFALO Y DE LAS MENINGES CEREBRALES;1;1;1;1;;1;5
C795 - TUMOR MALIGNO SECUNDARIO DE LOS HUESOS Y DE LA MEDULA OSEA;;;;;;1;1
C798 - TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS ESPECIFICADOS;;;1;;;;1
C80X - TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS;2;1;1;1;;;5
17272 - Filadelfia;27;18;43;30;33;26;177
C000 - TUMOR MALIGNO DEL LABIO SUPERIOR, CARA EXTERNA;;;1;;;;1
C008 - LESION DE SITIOS CONTIGUOS DEL LABIO;;;;;;;
C028 - LESION DE SITIOS CONTIGUOS DE LA LENGUA;;1;;;;;1
C059 - TUMOR MALIGNO DEL PALADAR, PARTE NO ESPECIFICADA;;;;1;;;1
C068 - LESION DE SITIOS CONTIGUOS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA;;1;;;1;;2
C07X - TUMOR MALIGNO DE LA GLANDULA PAROTIDA;;;;1;;1;2
C151 - TUMOR MALIGNO DEL ESOFAGO, PORCION TORACICA;;;;;;;
C154 - TUMOR MALIGNO DEL TERCIO MEDIO DEL ESOFAGO;;;;;1;;1
C155 - TUMOR MALIGNO DEL TERCIO INFERIOR DEL ESOFAGO;;;;;;;
C158 - LESION DE SITIOS CONTIGUOS DEL ESOFAGO;1;1;;;;;2
C159 - TUMOR MALIGNO DEL ESOFAGO, PARTE NO ESPECIFICADA;;;;;;;
C161 - TUMOR MALIGNO DEL FUNDUS GASTRICO;;;1;;;;1
C162 - TUMOR MALIGNO DEL CUERPO DEL ESTOMAGO;;1;;1;;;2
C163 - TUMOR MALIGNO DEL ANTRO PILORICO;;1;1;1;1;;4
C166 - TUMOR MALIGNO DE LA CURVATURA MAYOR DEL ESTOMAGO, SIN OTRA ESPECIFICACION;;;;;;;
C169 - TUMOR MALIGNO DEL ESTOMAGO, PARTE NO ESPECIFICADA;;;1;1;;1;3
C170 - TUMOR MALIGNO DEL DUODENO;;;;;1;;1
C172 - TUMOR MALIGNO DEL ILEON;;;;;;1;1
C180 - TUMOR MALIGNO DEL CIEGO;;;;;;;
C184 - TUMOR MALIGNO DEL COLON TRANSVERSO;;;2;1;;1;4
C187 - TUMOR MALIGNO DEL COLON SIGMOIDE;;;1;;1;;2
C188 - LESION DE SITIOS CONTIGUOS DEL COLON;;;;;;;
C189 - TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA;1;;;;;;1
C20X - TUMOR MALIGNO DEL RECTO;1;1;2;;1;;5
C229 - TUMOR MALIGNO DEL HIGADO, NO ESPECIFICADO;;1;;1;;2;4
C23X - TUMOR MALIGNO DE LA VESICULA BILIAR;;;;;;;
C240 - TUMOR MALIGNO D E LAS VIAS BILIARES EXTRAHEPATICAS;;;;;;;
C248 - LESION DE SITIOS CONTIGUOS DE LAS VIAS BILIARES;;;;;;;
C249 - TUMOR MALIGNO DE LAS VIAS BILIARES, PARTE NO ESPECIFICADA;;;;;;;
C250 - TUMOR MALIGNO DE LA CABEZA DEL PANCREAS;1;;;1;;1;3
C251 - TUMOR MALIGNO DEL CUERPO DEL PANCREAS;;;;;1;;1
C257 - TUMOR MALIGNO DE OTRAS PARTES ESPECIFICADAS DEL PANCREAS;;;;;1;;1
C260 - TUMOR MALIGNO DEL INTESTINO, PARTE NO ESPECIFICADA;;;;;;;
C300 - TUMOR MALIGNO DE LA FOSA NASAL;;1;;1;;;2
C310 - TUMOR MALIGNO DEL SENO MAXILAR;;;;;;;
C311 - TUMOR MALIGNO DEL SENO ETMOIDAL;;;;;;;
C313 - TUMOR MALIGNO DEL SENO ESFENOIDAL;;;;;;;
C318 - LESION DE SITIOS CONTIGUOS DE LOS SENOS PARANASALES;;;;1;1;;2
C320 - TUMOR MALIGNO DE LA GLOTIS;;1;;;;;1
C328 - LESION DE SITIOS CONTIGUOS DE LA LARINGE;;;;1;;;1
C329 - TUMOR MALIGNO DE LA LARINGE, PARTE NO ESPECIFICADA;;;;;;1;1
C340 - TUMOR MALIGNO DEL BRONQUIO PRINCIPAL;;;;;;;
